Reference, Value, Footprint, Datasheet, BOM
U1,ESP-12F,ESP8266:ESP-12E,
R1,4.7k,Resistors_SMD:R_1206_HandSoldering,
R3,4.7k,Resistors_SMD:R_1206_HandSoldering,
C2,10uF,Capacitors_SMD:C_1206_HandSoldering,
P1,BME280,Connectors_JST:JST_XH_B04B-XH-A_04x2.50mm_Straight,
P3,PWR,Connectors_JST:JST_XH_B02B-XH-A_02x2.50mm_Straight,
SW1,RESET,switches:SKQGAFE010_Switch,
SW2,FLASH,switches:SKQGAFE010_Switch,
R4,4.7k,Resistors_SMD:R_1206_HandSoldering,
C3,1uF,Capacitors_SMD:C_1206_HandSoldering,
U2,MCP1700T,smd-semi:SOT-23,,IC MICROCHIP MCP1700T-vv02E/TT
R5,4.7k,Resistors_SMD:R_1206_HandSoldering,
SW3,Switch_SPDT_x2,switches:SW_SPDT_PCM12,
P2,SERIAL,Pin_Headers:Pin_Header_Straight_1x05_Pitch2.54mm,
